Divisão,Time
AFC Leste,Buffalo Bills
AFC Leste,Miami Dolphins
AFC Leste,New England Patriots
AFC Leste,New York Jets
AFC Norte,Baltimore Ravens
AFC Norte,Cincinnati Bengals
AFC Norte,Cleveland Browns
AFC Norte,Pittsburgh Steelers
AFC Sul,Houston Texans
AFC Sul,Indianapolis Colts
AFC Sul,Jacksonville Jaguars
AFC Sul,Tennessee Titans
AFC Oeste,Denver Broncos
AFC Oeste,Kansas City Chiefs
AFC Oeste,Las Vegas Raiders
AFC Oeste,Los Angeles Chargers
NFC Leste,Dallas Cowboys
NFC Leste,New York Giants
NFC Leste,Philadelphia Eagles
NFC Leste,Washington Commanders
NFC Norte,Chicago Bears
NFC Norte,Detroit Lions
NFC Norte,Green Bay Packers
NFC Norte,Minnesota Vikings
NFC Sul,Atlanta Falcons
NFC Sul,Carolina Panthers
NFC Sul,New Orleans Saints
NFC Sul,Tampa Bay Buccaneers
NFC Oeste,Arizona Cardinals
NFC Oeste,Los Angeles Rams
NFC Oeste,San Francisco 49ers
NFC Oeste,Seattle Seahawks
